datetime,PM2.5,NO2,CO,u10,v10,t2m,ws10,wd10,rh,sp,tp,ssrd,strd,ws100,wd100,blh,O3
2022/1/2 18:00,50.8,6.4,0.78000003,-5.1324286,-1.2306757,19.441574,5.2779207,76.51491,76.66564,1015.9691,0,292857.25,1225088,6.8309007,48.35711,498.97577,144.8
2022/1/2 19:00,46.8,7.6,0.76,-4.970429,-0.98226464,19.147484,5.066612,78.82265,78.48767,1016.334,0,2085.5,1214670.5,7.1538963,52.55033,477.48145,140
2022/1/2 20:00,39,11.6,0.74,-4.7607894,-0.7848357,19.128654,4.8250484,80.63883,78.720276,1016.9947,0,0,1221378,7.0802813,53.278313,469.4,122.8
2022/1/2 21:00,32.8,15.4,0.76000005,-4.4726048,-0.67856395,19.141739,4.52388,81.379745,79.559,1017.5574,0,0,1218238.2,7.034304,53.910637,487.47247,113.6
2022/1/2 22:00,32.4,22,0.74,-4.1095567,-0.73667276,19.07763,4.175068,79.84009,81.41864,1017.5774,0,0,1224802.8,6.954431,54.72591,485.7614,103.6
2022/1/2 23:00,36.8,23.2,0.76000005,-3.883739,-0.83996856,18.98542,3.97354,77.7925,82.90405,1017.59973,0,0,1214814.5,6.8894362,59.14115,451.09848,104.2
2022/1/3 0:00,42.4,23.6,0.8,-3.7855577,-0.74881136,18.891014,3.8589118,78.80648,84.22744,1017.61743,0,0,1216810,6.8967066,67.08771,412.06647,107.4
2022/1/3 1:00,49,22.4,0.8,-3.7771902,-0.74724513,18.809982,3.8504157,78.79915,85.26843,1017.36835,0,0,1229798,6.8784685,73.43955,395.5524,101.2
2022/1/3 2:00,51.4,15,0.78000003,-3.7591157,-0.8334685,18.7883,3.8505156,77.47597,86.07048,1016.5631,0.000717118,0,1265614.5,6.228217,75.143394,407.57526,96
2022/1/3 3:00,52.4,15,0.76,-3.882289,-0.1746934,18.674103,3.886778,87.47529,88.988075,1016.02704,0,0,1237931,6.404738,75.56065,423.17276,91.4
2022/1/3 4:00,49.2,21,0.74,-3.848595,-0.53321373,18.807129,3.8855186,82.143135,88.27684,1015.3553,0.002151355,0,1289446.5,6.422428,77.89708,443.6435,81.2
2022/1/3 5:00,45.8,13.6,0.72,-3.8014007,-0.8691013,18.825935,3.8995066,77.10821,87.83045,1015.35974,0.002874062,0,1263332,6.7079606,81.677765,452.67206,84.6
2022/1/3 6:00,37.6,13.6,0.70000005,-3.7702727,-1.0821146,18.97107,3.922625,73.95454,87.26103,1015.57104,0.010758638,0,1315561,6.7550607,82.18749,384.36993,82.8
2022/1/3 7:00,34.2,20,0.78,-3.797719,-1.3410981,19.134712,4.027623,70.534096,87.106674,1015.8313,0.010039657,0,1340246.5,6.451194,81.14913,385.4393,72.6
2022/1/3 8:00,29.4,21.4,0.76,-3.7768726,-1.6645315,19.514595,4.127505,66.19817,85.86497,1016.2843,0.00971742,74995.75,1367018,5.9797697,84.564835,454.55112,70.2
2022/1/3 9:00,23.8,24.8,0.7,-3.9642863,-1.9371473,20.233246,4.4123926,63.945335,83.47018,1016.71875,0.003578141,496882.25,1332202,5.927011,87.94432,617.3092,71.8
2022/1/3 10:00,15,12,0.525,-4.869117,-2.100749,20.967583,5.3031225,66.66652,79.27177,1017.21765,0.009732321,972033.75,1362993,5.8398695,90.467186,692.9596,84.4
2022/1/3 11:00,10.6,5.25,0.42,-5.164561,-2.1541238,21.554916,5.596944,67.34559,75.98732,1016.98157,0.018952414,1667613.8,1331332,5.5753593,87.894104,763.7672,91
2022/1/3 12:00,9.8,4.4,0.4,-5.22217,-2.4291654,21.900116,5.760851,65.03415,74.05642,1016.42456,0.036880374,1918683.4,1349221,5.486968,82.4627,755.9913,91.4
2022/1/3 13:00,11.4,3.4,0.45999998,-5.35948,-2.9849098,22.012245,6.1356964,60.854668,73.991196,1015.3687,0.030221418,2026627.4,1347233,5.4003367,77.10401,789.66125,99
2022/1/3 14:00,11.8,3.4,0.48000002,-5.443938,-3.294322,22.027939,6.3639874,58.78115,74.29399,1014.1101,0.08451752,2002135,1405444.5,4.781405,81.091,743.1283,100.2
2022/1/3 15:00,11,4,0.42,-5.826588,-3.3805304,21.61428,6.736817,59.854942,76.41842,1013.7603,0.038936734,1756944.5,1362709.2,5.01641,71.73679,733.56506,101.6
